site,T,Y,X,treat,ID,field_tag,date,status,c1,c2,ch,canopy,infls,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,stem_d1,notes,stem_d2,lv_stems,dd_stems,herbivory
A,1,6.2,-0.2,remove,132,132,41573,1,30,15,25,3,7,11,10,6,8,7,9,,,,,,,,,,
A,1,12.4,-0.1,remove,133,133,41573,1,50,24,39,6,66,7,8,7,6,7,8,6,7,7,7,,,,,,
A,1,18.2,-0.1,control,134,134,41573,1,34,18,22,3,12,4,3,5,3,4,3,3,4,4,4,,,,,,
A,1,23.7,-0.2,remove,135,135,41573,1,60,36,40,11,110,6,5,3,2,4,7,6,5,4,3,,,,,,
A,1,30.2,0.4,remove,136,136,41573,1,32,21,22,2,24,8,4,7,6,6,3,8,5,6,5,,,,,,
A,1,35.9,0,control,137,137,41573,1,72,50,41,9,91,5,4,5,6,7,5,5,5,5,8,,,,,,
A,1,42.1,-0.2,control,138,138,41573,1,26,18,27,2,9,7,8,8,6,2,2,5,1,3,,,,,,,
A,1,48.1,-0.3,control,139,139,41573,1,61,48,37,13,219,4,2,4,4,5,4,5,2,2,2,,,,,,
A,1,52.9,0.6,control,140,140,41573,1,18,17,16,1,0,,,,,,,,,,,,,,,,
A,1,60.4,-0.1,control,141,141,41573,1,47,41,25,6,22,4,5,3,4,1,2,4,5,3,3,,,,,,
A,1,66.1,0.1,remove,142,142,41573,1,34,25,25,4,42,4,4,5,3,5,5,4,4,5,4,,,,,,
A,1,72.1,-0.3,control,143,143,41573,1,79,67,33,30,481,4,6,4,5,4,5,5,4,6,3,,,,,,
A,1,78,0.3,control,144,144,41573,1,38,27,25,8,21,5,5,5,3,4,3,2,3,2,4,,,,,,
A,1,83.9,0.2,remove,145,145,41573,1,53,51,36,15,122,4,5,6,4,5,7,5,3,5,5,,,,,,
A,1,90.3,0.7,remove,146,146,41573,1,25,26,23,4,7,5,6,5,8,5,5,7,,,,,,,,,
A,1,96.4,0.7,remove,147,147,41573,1,87,62,39,25,601,4,5,7,5,5,6,2,4,5,3,,,,,,
A,2,5,-0.2,remove,116,116,41573,1,4,3,3,,,,,,,,,,,,,1.2,,,,,
A,2,24.4,-1.1,control,118,118,41573,1,2,2,3,,,,,,,,,,,,,1,,,,,
A,2,32.2,1.8,control,119,119,41573,1,3,2,5,,,,,,,,,,,,,1.2,,,,,
A,2,49.5,-1.7,remove,120,120,41573,1,5,3,8,,,,,,,,,,,,,1.3,,,,,
A,2,51.9,0.6,remove,122,122,41573,1,5,5,6,,,,,,,,,,,,,1.5,,,,,
A,2,53,0.4,control,121,121,41573,1,2,1,3,,,,,,,,,,,,,0.5,,,,,
A,2,56.4,2.5,control,123,123,41573,1,2,2,4,,,,,,,,,,,,,0.7,,,,,
A,2,60.8,-2,remove,124,124,41573,1,3,3,6,,,,,,,,,,,,,1.3,,,,,
A,2,61.6,-0.8,control,125,125,41573,1,2,1,4,,,,,,,,,,,,,1.5,,,,,
A,2,64.1,-0.6,control,126,126,41573,1,5,4,5,,,,,,,,,,,,,2.2,,,,,
A,2,83.2,-1.5,remove,128,128,41573,1,4,5,7,,,,,,,,,,,,,1.7,,,,,
A,2,86.9,-1.2,remove,129,129,41573,1,3,2,6,,,,,,,,,,,,,1.2,,,,,
A,2,88.4,0.1,remove,130,130,41573,1,3,3,8,,,,,,,,,,,,,1.5,,,,,
A,2,98.4,-1.5,control,131,131,41573,1,4,3,5,,,,,,,,,,,,,2,,,,,
A,3,5,-0.5,control,692,692,41573,1,3,2,3,,,,,,,,,,,,,1.3,,,,,
A,3,15,-0.5,remove,694,694,41573,0,,,,,,,,,,,,,,,,,,,,,
A,3,15,0.5,control,695,695,41573,1,3,1,4,,,,,,,,,,,,,1,,,,,
A,3,25,-0.5,control,456,456,41573,1,4,2,5,,,,,,,,,,,,,1.5,,,,,
A,3,25,-0.5,control,696,696,41573,1,3,2,7,,,,,,,,,,,,,1.7,,,,,
A,3,25,0.5,remove,697,697,41573,1,4,3,7,,,,,,,,,,,,,1.9,,,,,
A,3,35,0.5,remove,699,699,41573,1,2,2,5,,,,,,,,,,,,,1.2,,,,,
A,3,45,-0.5,remove,460,460,41573,0,,,,,,,,,,,,,,,,,,,,,
A,3,45,-0.5,remove,700,700,41573,0,,,,,,,,,,,,,,,,,,,,,
A,3,45,0.5,control,701,701,41573,1,3,3,5,,,,,,,,,,,,,1.7,,,,,
A,3,55,0.5,remove,463,463,41573,0,,,,,,,,,,,,,,,,,,,,,
A,3,55,-0.5,remove,702,702,41573,1,3,2,3,,,,,,,,,,,,,1,,,,,
A,3,65,-0.5,remove,704,704,41573,1,3,3,6,,,,,,,,,,,,,2.5,,,,,
A,3,65,0.5,control,705,705,41573,1,2,1,4,,,,,,,,,,,,,1,,,,,
A,3,75,-0.5,remove,466,466,41573,0,,,,,,,,,,,,,,,,,,,,,
A,3,75,-0.5,remove,706,706,41573,1,2,1,5,,,,,,,,,,,,,1.4,,,,,
A,3,85,-0.5,remove,708,708,41573,1,3,3,5,,,,,,,,,,,,,1.4,,,,,
A,3,85,0.5,control,709,709,41573,1,3,2,4,,,,,,,,,,,,,1.7,,,,,
A,3,95,-0.5,control,710,710,41573,1,2,2,4,,,,,,,,,,,,,1.6,,,,,
B,1,5,-0.5,control,652,652,41575,3,1,1,2,,,,,,,,,,,,,0.9,,,,,
B,1,7,-0.5,remove,492,492,41575,1,3,2,4,,,,,,,,,,,,,1.7,,,,,
