"site","T","Y","X","treat","ID","TAG","date","status","c1","c2","ch","old.notes","date2","Spring.Status","Spring.Notes","herbivory"
"A","1","6.2","-0.2","remove","132","132","41573","1","30","15","25","","41773","1","",""
"A","1","12.4","-0.1","remove","133","133","41573","1","50","24","39","","41773","1","",""
"A","1","18.2","-0.1","control","134","134","41573","1","34","18","22","","41773","1","",""
"A","1","23.7","-0.2","remove","135","135","41573","1","60","36","40","","41773","1","",""
"A","1","30.2","0.4","remove","136","136","41573","1","32","21","22","","41773","1","",""
"A","1","35.9","0","control","137","137","41573","1","72","50","41","","41773","1","",""
"A","1","42.1","-0.2","control","138","138","41573","1","26","18","27","","41773","1","",""
"A","1","48.1","-0.3","control","139","139","41573","1","61","48","37","","41773","1","",""
"A","1","52.9","0.6","control","140","140","41573","1","18","17","16","","41773","1","",""
"A","1","60.4","-0.1","control","141","141","41573","1","47","41","25","","41773","1","",""
"A","1","66.1","0.1","remove","142","142","41573","1","34","25","25","","41773","1","",""
"A","1","72.1","-0.3","control","143","143","41573","1","79","67","33","","41773","1","",""
"A","1","78","0.3","control","144","144","41573","1","38","27","25","","41773","1","",""
"A","1","83.9","0.2","remove","145","145","41573","1","53","51","36","","41773","1","",""
"A","1","90.3","0.7","remove","146","146","41573","1","25","26","23","","41773","1","",""
"A","1","96.4","0.7","remove","147","147","41573","1","87","62","39","","41773","1","",""
"A","2","5","-0.2","remove","116","116","41573","1","4","3","3","","41773","1","",""
"A","2","24.4","-1.1","control","118","118","41573","1","2","2","3","","41773","1","",""
"A","2","35.2","1.8","control","119","119","41573","1","3","2","5","","41773","1","",""
"A","2","49.5","-1.7","remove","120","120","41573","1","5","3","8","","41773","1","",""
"A","2","51.9","0.6","remove","122","122","41573","1","5","5","6","","41773","1","",""
"A","2","53","0.4","control","121","121","41573","1","2","1","3","","41773","1","",""
"A","2","56.4","2.5","control","123","123","41573","1","2","2","4","","41773","1","",""
"A","2","60.8","-2","remove","124","124","41573","1","3","3","6","","41773","1","",""
"A","2","61.6","-0.8","control","125","125","41573","1","2","1","4","","41773","1","",""
"A","2","64.1","-0.6","control","126","126","41573","1","5","4","5","","41773","1","",""
"A","2","83.2","-1.5","remove","128","128","41573","1","4","5","7","","41773","1","",""
"A","2","86.9","-1.2","remove","129","129","41573","1","3","2","6","","41773","1","",""
"A","2","88.4","0.1","remove","130","130","41573","1","3","3","8","","41773","1","wilting on the top but resprouting from base",""
"A","2","98.4","-1.5","control","131","131","41573","1","4","3","5","","41773","1","",""
"A","3","5","-0.5","control","692","692","41573","1","3","2","3","","41773","1","",""
"A","3","15","-0.5","remove","694","694","41573","0","","","","","41773","NA","no tag",""
"A","3","15","0.5","control","695","695","41573","1","3","1","4","","41773","0","",""
"A","3","25","-0.5","control","456","456","41573","1","4","2","5","","41773","1","yellowish",""
"A","3","25","-0.5","control","696","696","41573","1","3","2","7","","41773","1","",""
"A","3","25","0.5","remove","697","697","41573","1","4","3","7","","41773","1","",""
"A","3","35","0.5","remove","699","699","41573","1","2","2","5","","41773","1","",""
"A","3","45","-0.5","remove","460","460","41573","0","","","","","41773","NA","",""
"A","3","45","-0.5","remove","700","700","41573","0","","","","","41773","NA","",""
"A","3","45","0.5","control","701","701","41573","1","3","3","5","","41773","1","",""
"A","3","55","0.5","remove","463","463","41573","0","","","","","41773","NA","",""
"A","3","55","-0.5","remove","702","702","41573","1","3","2","3","","41773","1","",""
"A","3","65","-0.5","remove","704","704","41573","1","3","3","6","","41773","1","",""
"A","3","65","0.5","control","705","705","41573","1","2","1","4","","41773","1","",""
"A","3","75","-0.5","remove","466","466","41573","0","","","","","41773","NA","",""
"A","3","75","-0.5","remove","706","706","41573","1","2","1","5","","41773","1","herbivory, changed status from 0 to 1 because recorded alive on 5-20-14","1"
"A","3","85","-0.5","remove","708","708","41573","1","3","3","5","","41773","1","",""
"A","3","85","0.5","control","709","709","41573","1","3","2","4","","41773","0","dry wilted",""
"A","3","95","-0.5","control","710","710","41573","1","2","2","4","","41773","1","",""
"B","1","5","-0.5","control","652","652","41575","3","1","1","2","","41772","0","",""
"B","1","7","-0.5","remove","492","492","41575","1","3","2","4","","41772","0","",""
"B","1","15","-0.5","remove","654","654","41575","1","3","2","4","","41772","1","",""
"B","1","15","0.5","control","655","655","41575","3","1","1","2","","41772","0","",""
"B","1","20","-0.5","remove","656","656","41575","1","2","2","5","","41772","0","",""
"B","1","24","-0.5","control","496","496","41575","3","1","1","3","","41772","0","",""
"B","1","40","0.5","control","659","659","41575","3","2","2","4","","41772","0","",""
"B","1","51","-0.5","remove","500","500","41575","3","2","1","4","","41772","0","",""
"B","1","55","0.5","control","663","663","41575","3","2","1","5","","41772","0","",""
"B","1","65","-0.5","control","664","664","41575","3","4","2","3","","41772","3","unsure of status",""
"B","1","65","0.5","remove","665","665","41575","1","4","4","5","","41772","1","",""
"B","1","67","0.5","remove","505","505","41575","3","3","2","5","","41772","0","",""
"B","1","75","0.5","control","667","667","41575","1","2","2","4","","41772","1","",""
"B","1","85","-0.5","remove","668","668","41575","1","3","2","4","","41772","0","",""
"B","1","85","0.5","control","669","669","41575","3","1","1","2","","41772","0","",""
"B","1","87","-0.5","control","508","508","41575","1","3","3","4","","41772","0","",""
"B","1","95","-0.5","remove","670","670","41575","1","2","2","5","","41772","1","removal effective",""
"B","1","95","0.5","control","671","671","41575","1","2","2","4","","41772","0","",""
"B","1","97","-0.5","remove","510","510","41575","1","1","1","2","","41772","3","",""
"B","1","97","0.5","control","511","511","41575","1","2","3","5","","41772","0","",""
"B","2","3.8","0.8","control","99","99","41575","1","3","2","3","","41772","1","",""
"B","2","4.7","-0.9","remove","98","98","41575","1","2","1","6","","41772","0","no lvs.",""
"B","2","8.7","-0.3","control","101","101","41575","1","2","2","2","","41772","1","",""
"B","1","3.6","0","","832","107","41575","1","3","2","4","","41772","1","",""
"B","2","12.2","0.3","control","102","102","41575","1","6","3","7","","41772","1","growing from base",""
"B","2","13.4","-0.5","remove","103","103","41575","1","3","2","6","","41772","1","",""
"B","2","16.2","0.4","remove","104","104","41575","1","3","3","6","","41772","1","",""
"B","2","17.1","-1","control","105","105","41575","1","2","1","7","","41772","1","",""
"B","2","59.1","-0.2","remove","106","106","41575","1","2","1","3","","41772","0","no lvs",""
"B","2","61.5","0.3","control","108","108","41575","1","3","3","7","","41772","1","",""
"B","2","63.6","0.2","control","834","114","41575","1","1","1","3","","41772","1","",""
"B","2","83.6","0.4","control","110","110","41575","1","7","6","8","","41772","1","",""
"B","2","85","0.4","remove","111","111","41575","1","5","4","9","","41772","1","big gall",""
"B","2","86.3","0.1","remove","112","112","41575","1","3","3","5","","41772","1","",""
"B","2","91","0.5","control","113","113","41575","1","5","3","6","","41772","1","",""
"B","3","23","0","control","85","85","41575","1","115","110","57","","41772","1","23 m x 0 m ",""
"B","3","6","0.15","remove","82","82","41575","1","9","9","10","","41772","1","tips wilting",""
"B","3","11.6","-2.4","control","83","83","41575","1","43","32","42","","41772","1","",""
