"site","T","Y","X","treat","ID","TAG","fallStatus","fallc1","fallc2","fallch","fallstem","fallnotes","earlySpringStatus","Spring1.Notes","date","status","c1","c2","ch","stem_d1","canopy","notes","herbivory"
"C","1","10","1.8","control","3","3","1","2","2","4","","","1","","41780","1","3","2","4","2","","",""
"C","1","11.1","1.4","remove","4","4","1","2","2","6","","","1","","41780","1","4","4","6","2.4","","",""
"C","1","24","-2.1","remove","5","5","1","3","3","11","","","1","resprouting","41780","1","3","2","4","2.5","","resprouting",""
"C","1","24.4","-0.95","remove","6","6","1","1","1","4","","","0","plant gone","41780","0","","","","","","",""
"C","1","34","-0.7","remove","7","7","1","2","1","4","","","1","","41780","1","5","2","6","2.7","","",""
"C","1","42.3","-2.4","remove","8","8","1","4","3","4","","","1","","41780","1","5","5","9","2.1","","",""
"C","1","48.9","0.9","control","10","10","2","","","","","","0","dry no lvs","41780","0","","","","","","",""
"C","1","52.2","-1.6","remove","11","11","1","4","2","6","","","1","","41780","1","7","5","8","3.3","","",""
"C","1","52.4","-0.55","control","12","12","1","2","1","5","","","1","","41780","1","2","1","5","2","","",""
"C","1","53.7","-1.4","control","13","13","1","4","2","5","","","1","","41780","1","3","2","5","1.4","","",""
"C","1","54.7","-0.9","control","14","14","1","2","2","5","","","0","dry gray","41780","0","","","","","","",""
"C","1","55.1","-0.6","remove","15","15","1","3","4","8","","","1","some dead branches","41780","1","4","4","9","2.6","","",""
"C","1","55.2","0.6","control","16","16","1","1","1","3","","","1","","41780","1","2","1","3","1.3","","",""
"C","1","55.9","0.1","remove","17","17","1","5","3","6","","","0","dry gray","41780","3","","","","","","dry gray",""
"C","1","58.1","-0.9","control","19","19","1","3","1","6","","","0","dry gray","41780","3","","","","","","",""
"C","1","59.2","0.4","remove","20","20","1","2","1","7","","","0","dry gray stepped on?","41780","0","","","","","","",""
"C","1","63.9","0.3","control","21","21","1","3","3","5","","","1","","41780","1","5","6","5","3","","",""
"C","1","64.8","-0.3","control","22","22","1","2","1","5","","","1","","41780","1","4","3","5","2.5","","",""
"C","1","64.8","-1.3","remove","23","23","1","2","1","4","","","0","dry gray","41780","0","","","","","","",""
"C","1","67.9","-1.6","control","25","25","1","2","2","5","","","1","","41780","1","4","3","6","2.2","","",""
"C","1","69.5","0.3","control","26","26","1","1","1","8","","","1","resprouting","41780","1","1","1","3","2","","resprouting",""
"C","1","70.6","-0.4","remove","27","27","1","7","4","9","","","0","dry gray","41780","3","","","","","","resprouting from base",""
"C","1","75","0.2","remove","29","29","1","5","3","5","","","1","","41780","1","9","9","8","3.7","","",""
"C","1","77.5","1.4","remove","30","30","1","3","2","6","","","1","","41780","1","5","5","7","2.4","","",""
"C","1","83.5","0.3","control","31","31","1","2","1","4","","","1","","41780","1","4","3","5","2.2","","",""
"C","1","59.4","2.5","remove","32","32","1","3","2","8","","","0","dry gray","41780","3","","","","","","dry gray",""
"C","1","52.5","-2.3","control","33","33","1","4","3","7","","","1","","41780","1","5","3","6","3","","",""
"C","2","7.9","-1.6","control","34","34","1","72","57","51","","","1","","41780","1","67","45","46","","10","",""
"C","2","6","2.4","control","35","35","1","45","35","23","","","1","","41780","1","44","33","27","","9","",""
"C","2","11.5","0.4","control","36","36","1","25","17","59","","","0","dry gray","41780","0","","","","","","left tag",""
"C","2","13.1","-0.1","control","37","37","1","12","7","26","","","1","","41780","1","17","11","24","","1","",""
"C","2","17","-2.4","control","38","38","1","105","91","64","","","1","","41780","1","105","72","63","","33","",""
"C","2","18.5","0.1","control","39","39","1","35","23","30","","","1","","41780","1","36","36","28","","6","",""
"C","2","23.2","-0.3","control","40","40","1","20","8","20","","","3","dry gray","41780","1","2","2","10","","1","almost dead",""
"C","2","25.1","-2.1","remove","41","41","1","35","18","30","","","0","dry gray","41780","0","","","","","","left tag",""
"C","2","28.4","0.4","control","42","42","1","83","65","49","","","1","switched trtment","41780","1","87","47","46","","19","",""
"C","2","32.6","1.1","remove","43","43","1","125","90","81","","","1","","41780","1","88","94","83","","48","two dead caterpillars on plant",""
"C","2","36.6","0.05","remove","44","44","1","15","7","11","","old with black fungus on stems","1","","41780","1","15","12","15","","1","resprouting ",""
"C","2","37.8","-1.8","control","45","45","1","14","19","29","","","0","dry gray lvs falling off","41780","0","","","","","","dry, left tag",""
"C","2","38.8","0.7","control","46","46","1","85","81","59","","","1","broken branch","41780","1","95","69","60","","30","",""
