site,transect,Y,X,treatment,ID,tag1,tag2,tag_switched,species,start_date,end_date,class,active,date_treated,notes
C,1,8.7,-1.9,control,1,1,,,ATV,39740,39981,1,0,39994,
C,1,9.9,-0.25,remove,2,2,,,ATV,39740,39981,1,0,39994,
C,1,10,1.8,control,3,3,,,ATV,39740,,1,1,39994,
C,1,11.1,1.4,remove,4,4,,,ATV,39740,,1,1,39994,
C,1,24,-2.1,remove,5,5,,,ATP,39740,,1,1,39994,
C,1,24.4,-0.95,remove,6,6,,,ATP,39740,,1,1,39994,
C,1,34,-0.7,remove,7,7,,,ATV,39740,,1,1,39994,
C,1,42.3,-2.4,remove,8,8,,,ATV,39740,,1,1,39994,
C,1,43.5,-1.5,control,9,9,,,ATV,39740,39981,1,0,39994,
C,1,48.9,0.9,control,10,10,,,ATV,39740,,1,1,39994,
C,1,52.2,-1.6,remove,11,11,,,ATP,39740,,1,1,39994,
C,1,52.4,-0.55,control,12,12,,,ATV,39740,,1,1,39994,
C,1,53.7,-1.4,control,13,13,,,ATP,39740,,1,1,39994,
C,1,54.7,-0.9,control,14,14,,,ATP,39740,,1,1,39994,
C,1,55.1,-0.6,remove,15,15,,,ATP,39740,,1,1,39994,
C,1,55.2,0.6,control,16,16,,,ATP,39740,,1,1,39994,
C,1,55.9,0.1,remove,17,17,,,ATV,39740,,1,1,39994,
C,1,56.2,0.5,remove,18,18,,,ATV,39740,39981,1,0,39994,
C,1,58.1,-0.85,control,19,19,,,ATV,39740,,1,1,39994,
C,1,59.2,0.4,remove,20,20,,,ATV,39740,,1,1,39994,
C,1,63.9,0.3,control,21,21,,,ATV,39740,,1,1,39994,
C,1,64.8,-0.3,control,22,22,,,ATP,39740,,1,1,39994,
C,1,64.8,-1.3,remove,23,23,,,ATP,39740,,1,1,39994,
C,1,66.6,-0.6,control,24,24,,,ATP,39740,39981,1,0,39994,
C,1,67.9,-1.6,control,25,25,,,ATP,39740,,1,1,39994,
C,1,69.5,0.3,control,26,26,,,ATP,39740,,1,1,39994,
C,1,70.6,-0.4,remove,27,27,,,ATP,39740,,1,1,39994,
C,1,72.7,-0.7,control,28,28,,,ATP,39740,39981,1,0,39994,
