tag1,site,ch,c1,c2,stem_d1,stem_d2,canopy
483,A,7,5,2,2.1,2.3,
692,A,6,5,4,2.5,2.6,
837,A,5,4,3,2.4,2,
697,A,9,4,5,3.1,3.3,
483,A,7,5,3,2.1,2,
692,A,6,4,4,2.4,3.4,
837,A,5,4,3,2.2,2,
697,A,9,4,4,2.8,3,
483,A,7,5,3,2.2,2,
692,A,6,4,4,2.6,2.9,
837,A,5,3,3,2.5,2.2,
697,A,9,4,4,3.4,3.2,
483,A,7,5,3,2.1,2.1,
692,A,6,5,4,2.7,3,
837,A,5,3,4,2.4,2.2,
697,A,9,3,4,3.1,3.2,
483,A,7,5,3,2.2,2.3,
692,A,6,4,4,2.7,3.5,
837,A,5,4,4,2.5,2.3,
697,A,9,4,4,3.2,3.3,
132,A,27,35,22,,,6
135,A,38,80,49,,,29
140,A,18,22,18,,,2
141,A,25,50,30,,,9
132,A,27,34,23,,,4
135,A,40,81,51,,,29
140,A,17,21,16,,,2
141,A,25,51,33,,,9
132,A,32,36,23,,,5
135,A,40,82,52,,,28
140,A,18,21,16,,,2
141,A,24,52,32,,,8
132,A,26,35,22,,,5
135,A,40,77,49,,,24
140,A,17,22,17,,,2
141,A,25,51,34,,,8
107,B,,,,,,
99,B,,,,,,
663,B,,,,,,
101,B,,,,,,
102,B,,,,,,
103,B,,,,,,
104,B,,,,,,
105,B,,,,,,
119,B,,,,,,
67,B,,,,,,
82,B,,,,,,
83,B,,,,,,
84,B,,,,,,
85,B,,,,,,
86,B,,,,,,
88,B,,,,,,
89,B,,,,,,
90,B,,,,,,
91,B,,,,,,
94,B,,,,,,
95,B,,,,,,
97,B,,,,,,
93,B,,,,,,
92,B,,,,,,
107,B,,,,,,
99,B,,,,,,
663,B,,,,,,
101,B,,,,,,
109,B,,,,,,
102,B,,,,,,
103,B,,,,,,
104,B,,,,,,
105,B,,,,,,
108,B,,,,,,
114,B,,,,,,
110,B,,,,,,
111,B,,,,,,
112,B,,,,,,
671,B,,,,,,
82,B,,,,,,
83,B,,,,,,
84,B,,,,,,
85,B,,,,,,
86,B,,,,,,
87,B,,,,,,
88,B,,,,,,
89,B,,,,,,
90,B,,,,,,
91,B,,,,,,
92,B,,,,,,
93,B,,,,,,
94,B,,,,,,
95,B,,,,,,
97,B,,,,,,
112,B,,,,,,
111,B,,,,,,
621,B,,,,,,
114,B,,,,,,
105,B,,,,,,
104,B,,,,,,
103,B,,,,,,
102,B,,,,,,
109,B,,,,,,
101,B,,,,,,
663,B,,,,,,
107,B,,,,,,
99,B,,,,,,
82,B,,,,,,
83,B,,,,,,
84,B,,,,,,
85,B,,,,,,
87,B,,,,,,
88,B,,,,,,
89,B,,,,,,
90,B,,,,,,
91,B,,,,,,
92,B,,,,,,
93,B,,,,,,
94,B,,,,,,
95,B,,,,,,
96,B,,,,,,
97,B,,,,,,
