date,field_tag,status,notes
8/5/13,1,1,
8/5/13,2,1,
8/5/13,3,1,
8/5/13,4,1,
8/5/13,5,1,
8/5/13,6,1,
8/5/13,7,1,
8/5/13,8,1,
8/5/13,9,1,
8/5/13,10,1,
8/5/13,11,1,
8/5/13,12,1,
8/5/13,13,1,
8/5/13,14,1,
8/5/13,15,1,
8/5/13,16,1,
8/5/13,17,1,
8/5/13,18,1,
8/5/13,19,1,
8/5/13,20,1,
8/5/13,21,1,
8/5/13,22,1,
8/5/13,23,1,
8/5/13,24,1,
8/5/13,25,1,
8/5/13,26,1,
8/5/13,27,1,
8/5/13,28,1,changing status from 0 to 1 because was recorded alive later on at this location 
8/5/13,29,1,
8/5/13,30,1,
8/5/13,31,1,
8/5/13,32,1,
8/5/13,33,1,
8/5/13,34,1,
8/5/13,35,1,
8/5/13,36,1,
8/5/13,37,1,
8/5/13,38,1,
8/5/13,39,1,
8/5/13,40,1,
8/5/13,41,1,
8/5/13,42,1,
8/5/13,43,1,
8/5/13,44,1,
8/5/13,45,1,
8/5/13,46,1,
8/5/13,47,1,
8/5/13,48,1,
8/5/13,49,1,
8/5/13,50,1,
8/5/13,51,1,
8/5/13,52,1,
8/5/13,53,1,
8/5/13,54,1,
8/5/13,55,1,
8/5/13,56,1,
8/5/13,57,1,
8/5/13,58,1,
8/5/13,59,1,
8/5/13,60,1,
8/5/13,61,1,
8/5/13,62,1,
8/5/13,63,1,
8/5/13,64,1,
8/5/13,65,1,
8/5/13,66,1,
8/5/13,67,1,
8/5/13,68,1,
8/5/13,69,1,
8/5/13,70,1,
8/5/13,71,1,
8/5/13,72,1,
8/5/13,73,1,
8/5/13,74,1,
8/5/13,75,1,
8/5/13,76,1,
8/5/13,77,1,
8/5/13,78,1,
8/5/13,79,1,
8/5/13,80,1,
8/5/13,81,1,
8/5/13,82,1,
8/5/13,83,1,
8/5/13,84,1,
8/5/13,85,1,
8/5/13,86,1,
8/5/13,87,1,
8/5/13,88,1,
8/5/13,89,1,
8/5/13,90,1,
8/5/13,91,1,
8/5/13,92,1,
8/5/13,93,1,
8/5/13,94,1,
8/5/13,95,1,
8/5/13,96,1,
8/5/13,97,1,
8/5/13,98,1,
8/5/13,99,1,
8/5/13,100,0,
8/5/13,101,1,
8/5/13,102,1,
8/5/13,103,1,
8/5/13,104,1,
8/5/13,105,1,
8/5/13,106,1,
8/5/13,107,1,not recorded at this time but later found alive 
8/5/13,108,1,
8/5/13,109,1,not recorded at this time but later found alive
8/5/13,115,0,
8/5/13,117,0,
8/5/13,127,2,plant and tag lost
8/5/13,243,0,
8/5/13,245,0,
8/5/13,248,u,
8/5/13,255,1,
8/6/13,274,u,dead?
8/6/13,280,0,
8/5/13,290,u,
8/5/13,292,0,
8/6/13,320,1,tag ripped off and reattached (plant 80 cm tall)
8/6/13,324,1,most of plant is dead
8/5/13,351,0,
8/5/13,353,0,
8/5/13,364,0,
8/6/13,400,1,
8/6/13,401,1,
8/6/13,402,1,
8/6/13,403,1,
8/6/13,404,1,
8/6/13,405,1,
8/6/13,406,1,
8/6/13,407,1,
8/6/13,408,0,
8/6/13,409,1,
8/6/13,410,1,
8/6/13,411,1,
8/6/13,412,1,
8/6/13,413,1,
8/6/13,414,1,
8/6/13,415,1,
8/6/13,416,1,
8/6/13,417,1,
8/6/13,418,1,
8/6/13,419,1,
8/6/13,420,1,
8/6/13,421,1,
8/6/13,422,1,very little live leaves trampled a bit
8/6/13,423,1,
8/6/13,424,1,
8/6/13,425,1,
8/6/13,426,1,
8/6/13,427,1,
8/6/13,428,1,
8/6/13,432,1,
8/6/13,433,1,
8/6/13,434,2,
8/6/13,435,1,
8/6/13,436,1,
8/6/13,437,1,
8/6/13,438,1,
8/6/13,439,1,
8/6/13,440,1,
8/6/13,441,1,
8/6/13,442,1,
8/6/13,443,1,
8/6/13,444,1,
8/6/13,445,1,
8/6/13,446,1,
8/6/13,447,1,
8/6/13,448,1,
8/6/13,449,1,
8/6/13,450,0,
8/6/13,451,0,
8/5/13,452,0,
8/5/13,453,0,
8/5/13,454,0,
8/5/13,455,0,
8/5/13,457,0,
8/5/13,458,0,
8/5/13,459,0,
8/5/13,461,0,
8/5/13,462,0,
8/5/13,464,0,
8/5/13,465,0,
8/5/13,467,0,
8/5/13,468,0,
8/5/13,469,0,
8/5/13,470,0,
8/5/13,471,0,
8/5/13,472,0,
8/5/13,473,0,
8/5/13,474,0,
8/5/13,475,0,
8/5/13,476,0,
8/5/13,477,0,
8/5/13,478,0,
8/5/13,480,0,
8/5/13,481,0,
8/5/13,482,0,
8/5/13,483,0,
8/5/13,484,0,
8/5/13,485,0,
8/5/13,486,0,
8/5/13,487,0,
8/5/13,488,0,
8/5/13,489,0,
8/5/13,491,0,
8/5/13,493,0,
8/5/13,494,0,
8/5/13,495,0,
8/5/13,496,u,
8/5/13,497,0,
8/5/13,498,0,
8/5/13,499,0,
8/5/13,500,u,dead?
8/5/13,501,0,
8/5/13,502,0,
8/5/13,503,0,
8/5/13,504,0,
8/5/13,506,0,
8/5/13,507,0,
8/5/13,509,0,
8/6/13,512,1,
8/6/13,513,1,
8/6/13,514,1,
8/6/13,515,1,
8/6/13,516,1,
8/6/13,517,1,
8/6/13,518,0,
8/6/13,519,1,
8/6/13,520,1,
8/6/13,521,1,
8/6/13,522,1,
8/6/13,523,0,
8/6/13,524,1,
8/6/13,525,1,
8/6/13,526,1,
8/6/13,527,1,
8/6/13,528,1,
8/6/13,529,u,
8/6/13,530,1,
8/6/13,531,0,
8/6/13,532,1,
8/6/13,533,1,
8/6/13,534,1,
8/6/13,535,2,
8/6/13,536,1,
8/6/13,537,0,
8/6/13,538,1,
8/6/13,539,1,
8/6/13,540,1,
8/6/13,541,1,
8/6/13,542,1,
8/6/13,543,1,
8/6/13,544,2,
8/6/13,545,1,
8/6/13,546,1,
8/6/13,547,0,
8/6/13,548,1,
8/6/13,549,1,
8/6/13,550,1,
8/6/13,551,0,
8/5/13,552,1,
8/5/13,553,1,
8/5/13,554,1,
8/5/13,555,0,
8/5/13,556,1,
8/5/13,557,1,
8/5/13,558,1,
8/5/13,559,0,
8/5/13,560,1,
8/5/13,561,1,
8/5/13,562,1,
8/5/13,563,1,
8/5/13,564,1,
8/5/13,565,0,
8/5/13,566,0,
8/5/13,567,u,
8/5/13,568,0,
8/5/13,569,1,
8/5/13,570,1,
8/5/13,571,0,
8/5/13,572,0,
8/5/13,573,1,
8/5/13,574,1,
8/5/13,575,0,
8/5/13,576,2,
8/5/13,577,1,
8/5/13,578,1,
8/5/13,579,1,
8/5/13,580,1,
8/5/13,581,1,
8/5/13,582,1,
8/5/13,583,1,
8/5/13,584,1,
8/5/13,585,1,
8/5/13,586,1,
8/5/13,587,1,
8/5/13,588,1,
8/5/13,589,1,
8/5/13,590,1,
8/5/13,591,1,
8/5/13,592,1,
8/5/13,593,1,
8/5/13,594,0,
8/5/13,595,2,
8/5/13,596,u,
8/5/13,597,1,
8/5/13,598,1,
8/5/13,599,0,
8/5/13,600,1,
8/5/13,601,1,
8/5/13,602,0,
8/5/13,603,1,
8/5/13,604,1,
8/5/13,605,1,
8/5/13,606,1,
8/5/13,607,2,
