"site","T","Y","X","treat","ID","TAG","date","status","c1","c2","ch","old.notes","date2","Spring.Status","Spring.Notes","herbivory"
"A",1,6.2,-0.2,"remove",132,132,2013-10-26,1,30,15,25,NA,2014-05-14,"1",NA,NA
"A",1,12.4,-0.1,"remove",133,133,2013-10-26,1,50,24,39,NA,2014-05-14,"1",NA,NA
"A",1,18.2,-0.1,"control",134,134,2013-10-26,1,34,18,22,NA,2014-05-14,"1",NA,NA
"A",1,23.7,-0.2,"remove",135,135,2013-10-26,1,60,36,40,NA,2014-05-14,"1",NA,NA
"A",1,30.2,0.4,"remove",136,136,2013-10-26,1,32,21,22,NA,2014-05-14,"1",NA,NA
"A",1,35.9,0,"control",137,137,2013-10-26,1,72,50,41,NA,2014-05-14,"1",NA,NA
"A",1,42.1,-0.2,"control",138,138,2013-10-26,1,26,18,27,NA,2014-05-14,"1",NA,NA
"A",1,48.1,-0.3,"control",139,139,2013-10-26,1,61,48,37,NA,2014-05-14,"1",NA,NA
"A",1,52.9,0.6,"control",140,140,2013-10-26,1,18,17,16,NA,2014-05-14,"1",NA,NA
"A",1,60.4,-0.1,"control",141,141,2013-10-26,1,47,41,25,NA,2014-05-14,"1",NA,NA
"A",1,66.1,0.1,"remove",142,142,2013-10-26,1,34,25,25,NA,2014-05-14,"1",NA,NA
"A",1,72.1,-0.3,"control",143,143,2013-10-26,1,79,67,33,NA,2014-05-14,"1",NA,NA
"A",1,78,0.3,"control",144,144,2013-10-26,1,38,27,25,NA,2014-05-14,"1",NA,NA
"A",1,83.9,0.2,"remove",145,145,2013-10-26,1,53,51,36,NA,2014-05-14,"1",NA,NA
"A",1,90.3,0.7,"remove",146,146,2013-10-26,1,25,26,23,NA,2014-05-14,"1",NA,NA
"A",1,96.4,0.7,"remove",147,147,2013-10-26,1,87,62,39,NA,2014-05-14,"1",NA,NA
"A",2,5,-0.2,"remove",116,116,2013-10-26,1,4,3,3,NA,2014-05-14,"1",NA,NA
"A",2,24.4,-1.1,"control",118,118,2013-10-26,1,2,2,3,NA,2014-05-14,"1",NA,NA
"A",2,35.2,1.8,"control",119,119,2013-10-26,1,3,2,5,NA,2014-05-14,"1",NA,NA
"A",2,49.5,-1.7,"remove",120,120,2013-10-26,1,5,3,8,NA,2014-05-14,"1",NA,NA
"A",2,51.9,0.6,"remove",122,122,2013-10-26,1,5,5,6,NA,2014-05-14,"1",NA,NA
"A",2,53,0.4,"control",121,121,2013-10-26,1,2,1,3,NA,2014-05-14,"1",NA,NA
"A",2,56.4,2.5,"control",123,123,2013-10-26,1,2,2,4,NA,2014-05-14,"1",NA,NA
"A",2,60.8,-2,"remove",124,124,2013-10-26,1,3,3,6,NA,2014-05-14,"1",NA,NA
"A",2,61.6,-0.8,"control",125,125,2013-10-26,1,2,1,4,NA,2014-05-14,"1",NA,NA
"A",2,64.1,-0.6,"control",126,126,2013-10-26,1,5,4,5,NA,2014-05-14,"1",NA,NA
"A",2,83.2,-1.5,"remove",128,128,2013-10-26,1,4,5,7,NA,2014-05-14,"1",NA,NA
"A",2,86.9,-1.2,"remove",129,129,2013-10-26,1,3,2,6,NA,2014-05-14,"1",NA,NA
"A",2,88.4,0.1,"remove",130,130,2013-10-26,1,3,3,8,NA,2014-05-14,"1","wilting on the top but resprouting from base",NA
"A",2,98.4,-1.5,"control",131,131,2013-10-26,1,4,3,5,NA,2014-05-14,"1",NA,NA
"A",3,5,-0.5,"control",692,692,2013-10-26,1,3,2,3,NA,2014-05-14,"1",NA,NA
