tag1,tag2,site,T,Y,X,spec,class,treat,date,status,c1,c2,ch,stemd1,canopy,infls,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,herbivory,notes,Stat1,Stat2,SpringNotes1,SpringNotes2,ID
132,,A,1,6.2,-0.2,ATP,2,remove,41932,1,33,21,23,,4,6,3,2,3,3,3,4,,,,,,,1,1,,,132
133, ,A,1,12.4,-0.1,ATP,3,remove,41932,1,66,27,39,,8,101,9,9,7,9,8,6,7,6,10,9,,,1,1,,,133
134, ,A,1,18.2,-0.1,ATP,2,control,41932,1,23,15,21,,2,3,1,1,1,,,,,,,,,separate plant to the north,1,1,,,134
135, ,A,1,23.7,-0.2,ATP,3,remove,41932,1,64,55,37,,23,135,5,5,1,4,4,4,5,6,4,2,,,1,1,,,135
136, ,A,1,30.2,0.4,ATP,2,remove,41932,1,43,23,13,,4,21,7,5,6,1,5,3,1,4,2,2,,,1,1,,,136
137, ,A,1,35.9,0,ATP,3,control,41932,1,51,33,39,,5,33,3,3,1,1,4,1,1,1,2,3,,,1,1,,,137
138, ,A,1,42.1,-0.2,ATP,2,control,41932,1,32,11,27,,2,9,2,1,3,1,1,2,1,3,2,,,,1,1,,,138
139, ,A,1,48.1,-0.3,ATP,3,control,41932,1,56,36,34,,10,132,1,1,1,1,1,1,1,1,1,1,,some black cankers,1,1,,,139
140, ,A,1,52.9,0.6,ATP,2,control,41932,1,20,15,17,,1,0,,,,,,,,,,,,,1,1,,,140
141, ,A,1,60.4,-0.1,ATP,3,control,41932,1,54,29,21,,5,15,1,1,1,1,1,1,1,1,1,1,,has wire but no tag! ,1,1,,,141
142, ,A,1,66.1,0.1,ATP,2,remove,41932,1,42,39,25,,8,40,2,1,3,3,1,2,2,3,1,5,,,1,1,,,142
143, ,A,1,72.1,-0.3,ATP,3,control,41932,1,71,76,33,,33,389,1,1,1,1,1,1,1,1,1,1,,,1,1,,,143
144,,A,1,78,0.3,ATP,2,control,41932,1,25,21,32,,3,1,1,,,,,,,,,,,separate plant to the north,1,1,,,144
