"Position","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","Fall.2013","NA..6","NA..7","NA..8","NA..9","NA..10","Spring1","NA..11","Spring2","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19"
"site","T","Y","X","treat","ID","TAG","fallStatus","fallc1","fallc2","fallch","fallstem","fallnotes","earlySpringStatus","Spring1 Notes","date","status","c1","c2","ch","stem_d1","canopy","notes","herbivory"
"C","1","10","1.8","control","3","3","1","2","2","4",NA,NA,"1",NA,"41780","1","3","2","4","2",NA,NA,NA
"C","1","11.1","1.4","remove","4","4","1","2","2","6",NA,NA,"1",NA,"41780","1","4","4","6","2.4",NA,NA,NA
"C","1","24","-2.1","remove","5","5","1","3","3","11",NA,NA,"1","resprouting","41780","1","3","2","4","2.5",NA,"resprouting",NA
"C","1","24.4","-0.95","remove","6","6","1","1","1","4",NA,NA,"0","plant gone","41780","0",NA,NA,NA,NA,NA,NA,NA
"C","1","34","-0.7","remove","7","7","1","2","1","4",NA,NA,"1",NA,"41780","1","5","2","6","2.7",NA,NA,NA
"C","1","42.3","-2.4","remove","8","8","1","4","3","4",NA,NA,"1",NA,"41780","1","5","5","9","2.1",NA,NA,NA
"C","1","48.9","0.9","control","10","10","2",NA,NA,NA,NA,NA,"0","dry no lvs","41780","0",NA,NA,NA,NA,NA,NA,NA
"C","1","52.2","-1.6","remove","11","11","1","4","2","6",NA,NA,"1",NA,"41780","1","7","5","8","3.3",NA,NA,NA
"C","1","52.4","-0.55","control","12","12","1","2","1","5",NA,NA,"1",NA,"41780","1","2","1","5","2",NA,NA,NA
"C","1","53.7","-1.4","control","13","13","1","4","2","5",NA,NA,"1",NA,"41780","1","3","2","5","1.4",NA,NA,NA
"C","1","54.7","-0.9","control","14","14","1","2","2","5",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,NA,NA
"C","1","55.1","-0.6","remove","15","15","1","3","4","8",NA,NA,"1","some dead branches","41780","1","4","4","9","2.6",NA,NA,NA
"C","1","55.2","0.6","control","16","16","1","1","1","3",NA,NA,"1",NA,"41780","1","2","1","3","1.3",NA,NA,NA
"C","1","55.9","0.1","remove","17","17","1","5","3","6",NA,NA,"0","dry gray","41780","3",NA,NA,NA,NA,NA,"dry gray",NA
"C","1","58.1","-0.9","control","19","19","1","3","1","6",NA,NA,"0","dry gray","41780","3",NA,NA,NA,NA,NA,NA,NA
"C","1","59.2","0.4","remove","20","20","1","2","1","7",NA,NA,"0","dry gray stepped on?","41780","0",NA,NA,NA,NA,NA,NA,NA
"C","1","63.9","0.3","control","21","21","1","3","3","5",NA,NA,"1",NA,"41780","1","5","6","5","3",NA,NA,NA
