tag1,tag2,site,transect,Y,X,ID,species,class,treatment,status,notes.1,notes.2,DATE,STATUS,c1,c2,ch,canopy,stem_d1,stem_d2,notes
132,,A,1,6.2,-0.2,132,ATP,2,remove,1,,,5/27/15,1,25,35,23,4,,,
133,,A,1,12.4,-0.1,133,ATP,3,remove,1,,,5/27/15,1,40,68,43,10,,,
134,,A,1,18.2,-0.1,134,ATP,2,control,1,separate plant to the north,,5/27/15,1,26,10,21,2,,,
135,,A,1,23.7,-0.2,135,ATP,3,remove,1,,,5/27/15,1,51,78,37,25,,,
136,,A,1,30.2,0.4,136,ATP,2,remove,1,,,5/27/15,1,23,45,21,5,,,
137,,A,1,35.9,0,137,ATP,3,control,1,,,5/27/15,1,43,4,39,7,,,
138,,A,1,42.1,-0.2,138,ATP,2,control,1,,,5/27/15,1,28,17,28,2,,,
139,,A,1,48.1,-0.3,139,ATP,3,control,1,some black cankers,,5/27/15,1,30,50,35,4,,,some black cankers
140,,A,1,52.9,0.6,140,ATP,2,control,1,,,5/27/15,1,17,16,17,2,,,
141,,A,1,60.4,-0.1,141,ATP,3,control,1,has wire but no tag! ,,5/27/15,1,49,31,19,5,,,
142,,A,1,66.1,0.1,142,ATP,2,remove,1,,,5/27/15,1,49,40,24,11,,,
143,,A,1,72.1,-0.3,143,ATP,3,control,1,,,5/27/15,1,80,77,37,35,,,
144,,A,1,78,0.3,144,ATP,2,control,1,separate plant to the north,,5/27/15,1,23,31,32,3,,,
145,,A,1,83.9,0.2,145,ATP,3,remove,1,,,5/27/15,1,72,75,43,34,,,
146,,A,1,90.3,0.7,146,ATP,2,remove,1,,,5/27/15,1,52,55,30,16,,,
147,,A,1,96.4,0.7,147,ATP,3,remove,1,,,5/27/15,1,71,41,42,40,,,
116,,A,2,5,-0.2,116,ATP,1,remove,1,,,5/26/15,1,9,8,7,,3.5,,multistem
118,,A,2,24.4,-1.1,118,ATP,1,control,1,,,5/26/15,1,4,5,6,,2.2,,
119,,A,2,35.2,1.8,119,ATP,1,control,2,found loose tag but could not find plant,corrected Y position,5/26/15,2,,,,,,,
120,,A,2,49.5,-1.7,120,ATP,1,remove,1,,,5/26/15,1,13,11,10,,5.6,5.5,
122,,A,2,51.9,0.6,122,ATP,1,remove,1,,,5/26/15,1,8,10,10,,4.3,,
121,,A,2,53,0.4,121,ATP,1,control,1,,,5/26/15,1,3,2,5,,1.4,,
123,,A,2,56.4,2.5,123,ATP,1,control,1,,,5/26/15,1,4,4,6,,1.9,1.8,
124,,A,2,60.8,-2,124,ATP,1,remove,1,,,5/26/15,1,7,9,12,,4,3.8,
125,,A,2,61.6,-0.8,125,ATP,1,control,1,,,5/26/15,1,2,4,4,,2.8,2.8,
126,,A,2,64.1,-0.6,126,ATP,1,control,1,,,5/26/15,1,9,8,9,,3,3,
98,,A,2,64.3,-1.2,1055,ATP,1,remove,3,no lvs,,5/26/15,0,,,,,0.5,,left tag
128,,A,2,83.2,-1.5,128,ATP,1,remove,1,,,5/26/15,1,17,12,13,,6.7,6.5,aphids with ants
129,,A,2,86.9,-1.2,129,ATP,1,remove,1,,,5/26/15,1,11,8,14,,4.4,4.4,
130,,A,2,88.4,0.1,130,ATP,1,remove,1,,,5/26/15,1,6,8,8,,3.7,3.9,
131,,A,2,98.4,-1.5,131,ATP,1,control,3,dried up crispy,,5/26/15,0,,,,,2,,
483,,A,3,1,0,995,ATP,5,control,1,,,5/26/15,1,2,5,7,,2.2,2.2,
506,,A,3,3,0,996,ATV,5,control,1,,,5/26/15,1,5,5,4,,3.3,3.3,
692,,A,3,5,-0.5,692,ATP,4,control,1,,,5/26/15,1,3,4,6,,2.8,2.4,
660,,A,3,11,0,997,ATP,5,control,1,stem buried ,,5/26/15,1,5,4,5,,2.1,1.9,
625,,A,3,13,0,998,ATV,5,remove,1,,,5/26/15,1,5,6,7,,3.8,3.4,
837,,A,3,21,0,999,ATP,5,control,1,,,5/26/15,1,4,3,5,,2.6,3,
480,,A,3,23,0,1000,ATV,5,remove,1,,,5/26/15,1,4,4,5,,2.7,2.6,
696,,A,3,25,-0.5,696,ATP,4,control,1,,,5/26/15,1,4,4,8,,2.5,2.4,
697,,A,3,25,0.5,697,ATP,4,remove,1,,,5/26/15,1,4,5,10,,3.1,3.1,
699,,A,3,35,0.5,699,ATP,4,remove,1,,,5/26/15,1,7,7,10,,4.2,4.5,
617,,A,3,41,0,1003,ATP,5,control,1,,,5/26/15,1,4,5,4,,3,2.6,
501,,A,3,43,0,1004,ATV,5,control,1,,,5/26/15,1,4,3,5,,2.8,3,
701,,A,3,45,0.5,701,ATP,4,control,1,,,5/26/15,1,5,5,6,,2.5,3.2,
595,,A,3,51,0,1005,ATP,5,remove,3,dry gray,,5/26/15,0,,,,,2.4,2.4,no leaves dying poa
702,,A,3,55,-0.5,702,ATP,4,remove,1,,,5/26/15,1,6,7,6,,3,3.2,
468,,A,3,61,0,1007,ATP,5,remove,3,dry gray,,5/26/15,0,,,,,2.2,,removed tag
621,,A,3,63,0,1008,ATV,5,remove,1,,,5/26/15,1,11,12,11,,6.5,6,grass dying
704,,A,3,65,-0.5,704,ATP,4,remove,1,,,5/26/15,1,9,8,13,,6,6.5,
705,,A,3,65,0.5,705,ATP,4,control,1,,,5/26/15,1,2,2,7,,1.9,1.8,found pin no tag
