"site","transect","Y","X","treatment","ID","tag1","tag2","tag_switched","species","start_date","end_date","class","active","date_treated","notes"
"A",5,6,0,"control",NA,246,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,6,0,"control",NA,529,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,6,0,"control",NA,544,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,6,0,"control",NA,716,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,18,0,"control",NA,344,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,18,0,"control",NA,471,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,18,0,"control",NA,569,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,18,0,"control",NA,754,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,30,0,"control",NA,524,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,30,0,"control",NA,593,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,30,0,"control",NA,866,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,30,0,"control",NA,880,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,42,0,"control",NA,233,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,42,0,"control",NA,235,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,42,0,"control",NA,707,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,42,0,"control",NA,728,NA,NA,"ATP","2014-10-30",NA,7,1,"2015-07-01",NA
"A",5,54,0,"control",NA,522,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,54,0,"control",NA,662,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,54,0,"control",NA,799,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,54,0,"control",NA,848,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,66,0,"control",NA,231,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,66,0,"control",NA,474,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,66,0,"control",NA,850,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,66,0,"control",NA,853,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,78,0,"control",NA,106,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,78,0,"control",NA,240,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,78,0,"control",NA,411,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,78,0,"control",NA,709,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,90,0,"control",NA,695,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,90,0,"control",NA,711,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,90,0,"control",NA,876,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"A",5,90,0,"control",NA,878,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,6,0,"control",NA,264,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,6,0,"control",NA,271,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,6,0,"control",NA,588,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,6,0,"control",NA,819,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,18,0,"control",NA,268,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,18,0,"control",NA,469,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,18,0,"control",NA,576,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,18,0,"control",NA,730,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
"B",0,30,0,"control",NA,260,NA,NA,"ATP","2014-10-29",NA,7,1,"2015-07-01",NA
