position,side,site,transect,field_id,species,flwrs,infls,lv_stems,dd_stems,stem_d1,stem_d2,cw,cl,ch,notes
10,W,C,1,1,ATV,1,2,1,0,7.5,8,11,23,23.5,
10,W,C,1,2,ATV,0,0,1,0,12,13.5,15,16,37,
20,W,C,1,3,ATP,0,0,0,0,6.5,6.5,9,12,15,
20,W,C,1,4,ATP,0,0,1,0,8.5,15.5,8,13,15,
20,W,C,1,5,ATP,1,29,10,1,27.5,27,90,125,54,
20,W,C,1,6,ATP,0,0,3,0,15.5,14.5,39,67,45,
30,W,C,1,7,ATV,1,110,14,4,64.5,77,86,101,55,
40,E,C,1,8,ATP,0,0,0,0,6.5,6,16,14,14,
50,W,C,1,9,ATV,1,1,1,1,14.5,14.5,18,40,20,
60,E,C,1,10,ATV,1,33,5,3,32.5,36.5,63,111,67,
60,E,C,1,11,AAX,0,0,0,0,4.5,4.5,9,20,25,
70,W,C,1,12,ATV,0,0,0,0,6.5,6.5,9,11,19,
80,E,C,1,13,ATP,0,0,0,0,4,4,6,9,12,
80,E,C,1,14,ATP,0,0,1,0,18.5,22,22,25,23,
90,W,C,1,15,ATV,1,90,10,6,43,39,105,103,76,
90,W,C,1,16,ATV,0,0,0,0,12,13,15,19,38,
100,E,C,1,17,ATV,1,46,5,20,72,89,32,75,71,
100,E,C,1,18,ATP,0,0,1,0,12,12,17,33,30,
100,E,C,1,19,ATV,0,0,1,0,17,12,7,45,21,
