position,side,site,transect,field_id,species,flwrs,infls,lv_stems,dd_stems,stem_d1,stem_d2,cw,cl,ch,notes
5,E,G,1,1,ATV,1,NA,NA,NA,43.2,22.4,36,50,37,
5,E,G,1,2,ATV,1,NA,NA,NA,14,15.8,20,20,47,
5,E,G,1,3,ATV,1,NA,NA,NA,19,27,22,56,47,
5,E,G,1,4,ATV,1,NA,NA,NA,25.6,25.6,31,52,56,
5,E,G,1,5,ATV,1,NA,NA,NA,25.2,22.4,21,40,35,
15,W,G,1,7,ATV,0,NA,NA,NA,14.5,8.9,9,20,25,
15,W,G,1,8,ATV,1,NA,NA,NA,38.5,31,32,73,39,
15,W,G,1,9,ATV,1,NA,NA,NA,66.5,49.5,65,103,53,
25,E,G,1,10,ATV,0,NA,NA,NA,1.5,1.6,3,4,5,
25,E,G,1,11,ATV,1,NA,NA,NA,45.7,45.6,42,42,60,
35,W,G,1,12,ATV,1,NA,NA,NA,36.5,43.2,63,67,55,
35,W,G,1,13,ATV,1,NA,NA,NA,31,50.5,16,48,41,
35,W,G,1,14,ATV,1,NA,NA,NA,13.8,19.9,18,22,44,
45,E,G,1,16,ATV,0,NA,NA,NA,12.5,14.3,10,18,31,
45,E,G,1,17,ATV,0,NA,NA,NA,12,17.5,13,20,31,
45,E,G,1,18,ATV,0,NA,NA,NA,17.5,18.6,18,40,27,
45,E,G,1,19,ATV,0,NA,NA,NA,13,13.8,14,33,26,
45,E,G,1,20,ATV,0,NA,NA,NA,7.5,6,7,14,19,
45,E,G,1,21,ATV,0,NA,NA,NA,12.5,10,12,17,24,
45,E,G,1,22,ATV,0,NA,NA,NA,15.4,14.8,16,25,35,
45,E,G,1,23,ATV,0,NA,NA,NA,18,18.6,23,27,35,
45,E,G,1,24,ATV,1,NA,NA,NA,38.5,65.7,29.8,29.8,44,
45,E,G,1,25,ATV,0,NA,NA,NA,18.4,15,18,11,13,
55,W,G,1,26,ATV,1,NA,NA,NA,44.5,54.6,44,63,47,
55,W,G,1,27,ATV,1,NA,NA,NA,50.5,54,68,106,71,
55,W,G,1,28,ATV,1,NA,NA,NA,48.1,36.4,23,24,51,
55,W,G,1,29,ATV,1,NA,NA,NA,54,70,64,76,74,
55,W,G,1,31,ATV,1,NA,NA,NA,29.2,32.3,31,42,51,
65,E,G,1,32,ATV,1,NA,NA,NA,52,96.6,36,71,80,
65,E,G,1,33,ATV,1,NA,NA,NA,33.5,26.1,48,56,68,
65,E,G,1,34,ATV,1,NA,NA,NA,28.9,20.3,23,41,52,
65,E,G,1,35,ATV,1,NA,NA,NA,15,14.5,15,20,51,
75,W,G,1,36,ATV,1,NA,NA,NA,57,52,38,58,74,
85,E,G,1,37,ATV,1,NA,NA,NA,80.6,65.5,62,93,64,
85,E,G,1,38,ATV,1,NA,NA,NA,47.2,47.5,41,63,73,
85,E,G,1,39,ATV,0,NA,NA,NA,12,15.9,5,10,17,
95,W,G,1,40,ATV,0,NA,NA,NA,1,1,2,2,6,
95,W,G,1,41,ATV,1,NA,NA,NA,19,21.5,22,37,34,
95,W,G,1,42,ATV,0,NA,NA,NA,15.5,15,15,26,39,
95,W,G,1,43,ATV,1,NA,NA,NA,42.2,44.6,54,81,53,
