position,side,site,transect,field_id,species,flwrs,infls,lv_stems,dd_stems,stem_d1,stem_d2,cw,cl,ch,notes
5,W,I,1,1,ATP,1,2,2,0,31.8,30.9,23,48,36,galls
5,W,I,1,2,ATP,1,43,5,3,25.8,20.6,55,102,39,
5,W,I,1,3,ATP,0,0,1,0,13.1,11.5,15,19,23,
5,W,I,1,4,ATP,1,6,1,0,9.5,11.1,20,37,28,
5,W,I,1,5,ATP,0,0,1,0,15.2,12.6,17,29,32,
5,W,I,1,6,ATP,1,1,0,0,7,8,18,24,21,
5,W,I,1,7,ATP,1,3,0,0,8.3,9.1,10,20,33,
15,E,I,1,8,ATP,1,166,3,1,21.4,26,53,70,47,
15,E,I,1,9,ATP,1,18,0,0,8.6,11.5,33,21,45,
15,E,I,1,10,ATP,1,20,2,1,26.9,30.8,45,51,41,
25,W,I,1,11,ATP,1,1,0,0,6.8,5.7,25,20,32,
25,W,I,1,12,ATP,1,3,2,0,17.9,18.5,34,42,35,
35,E,I,1,0,AAX,0,0,0,0,7.6,NA,9,20,36,
35,E,I,1,0,AAX,0,0,0,0,6.5,NA,7,18,24,
35,E,I,1,0,AAX,0,0,0,0,7.4,NA,12,14,32,
35,E,I,1,0,AAX,0,0,0,0,4.1,NA,8,16,37,
45,W,I,1,13,ATP,0,0,1,0,19.8,8.9,12,14,29,galls
45,W,I,1,14,ATP,1,55,4,2,20.3,18.5,50,72,42,
55,E,I,1,15,ATP,0,0,1,0,25.8,27.9,10,23,24,galls and black cankers
55,E,I,1,16,ATP,1,4,1,0,18.7,18.6,14,24,43,
55,E,I,1,17,ATP,0,0,0,0,8.6,10.1,12,13,22,
55,E,I,1,18,ATP,0,0,3,0,22,22.5,60,61,44,
65,W,I,1,19,ATP,0,0,0,0,1.5,NA,2.5,3,4,
65,W,I,1,0,AAX,0,0,0,0,0.5,NA,1.5,2,6,
65,W,I,1,0,AAX,1,1,1,0,15.3,NA,23,21,27,
65,W,I,1,0,AAX,0,0,0,0,9,NA,10,17,24,
65,W,I,1,0,AAX,0,0,0,0,7.4,NA,8,5,27,
65,W,I,1,0,AAX,1,1,2,0,18.3,NA,16,30,29,
75,E,I,1,20,ATP,1,547,9,0,36,37.9,153,171,56,lots of cheatgrass at base
75,E,I,1,0,AAX,1,1,1,0,24.9,NA,37,48,46,
85,W,I,1,21,ATP,1,98,4,2,17,17.2,57,82,54,galls
95,E,I,1,22,ATP,0,0,1,0,27.2,22.5,16,29,28,
95,E,I,1,0,AAX,0,0,4,0,18.5,NA,80,54,35,
