date,site,species,class,id,cw,cl,ch,canopy.area,stem1,stem2,notes
6/11/15,G,ATV,3,36,68,71,64,26,45.5,41.4,
6/11/15,G,ATV,3,37,106,38,44,13,53.4,76.3,
6/11/15,G,ATV,3,38,78,32,64,15,47.5,66.7,
6/11/15,G,ATV,3,39,89,67,60,31,42.7,56.1,
6/11/15,G,ATV,3,40,114,117,69,52,56,38.5,
6/11/15,G,ATV,3,41,88,50,70,28,46.3,55.5,
6/11/15,G,ATV,3,42,104,52,45,10,45,75,
6/11/15,G,ATV,3,43,70,40,55,11,72,66,
6/11/15,G,ATV,3,44,120,88,61,45,45,50.5,
6/11/15,G,ATV,3,45,55,43,63,10,42,43,
6/11/15,G,ATV,3,46,149,141,57,70,41,33,
6/11/15,G,ATV,3,47,87,53,46,21,50,37,
6/11/15,G,ATV,3,48,54,53,38,11,23,34,
6/11/15,G,ATV,3,49,59,43,57,12,43,39,
6/11/15,G,ATV,3,50,92,66,40,27,36.5,45,
6/11/15,G,ATV,2,51,13,12,12,1,6.7,6.9,
6/11/15,G,ATV,2,52,29,16,28,2,12.5,11.4,
6/11/15,G,ATV,2,53,21,17,25,2,15.5,14.1,
6/11/15,G,ATV,2,54,25,29,32,4,15,15.3,
6/11/15,G,ATV,2,55,61,30,54,10,25.2,28.6,
6/11/15,G,ATV,2,56,74,39,46,13,16,18.2,
6/11/15,G,ATV,2,57,35,31,56,4,20.4,25.1,
6/11/15,G,ATV,2,58,43,16,39,6,15.2,15.8,
6/11/15,G,ATV,2,59,15,17,25,1,6.4,6.4,
6/11/15,G,ATV,2,60,41,28,43,7,21.3,20.8,
6/11/15,G,ATV,2,61,53,35,30,4,15.3,17.5,
6/11/15,G,ATV,2,62,29,30,35,4,14.2,14.2,
6/11/15,G,ATV,2,63,33,18,35,3,30.6,24.3,
6/10/15,G,ATV,1,1,2,3,6,,1.7,1.5,
6/10/15,G,ATV,1,2,9,6,11,,3.5,3.4,
6/10/15,G,ATV,1,3,3,5,6,,1.5,1.5,
6/10/15,G,ATV,1,4,5,6,8,,2.8,2.9,
6/10/15,G,ATV,1,5,3,5,6,,1.7,1.7,
6/10/15,G,ATV,1,6,4,3,8,,2.3,2.1,
6/10/15,G,ATV,1,7,3,4,7,,2.6,2.6,
6/10/15,G,ATV,1,8,6,5,9,,2.9,3.1,
6/10/15,G,ATV,1,9,4,3,10,,2.3,2.4,
6/10/15,G,ATV,1,10,6,7,13,,4.5,3.5,
6/10/15,G,ATV,1,11,5,5,9,,4.4,4.3,
6/10/15,G,ATV,1,12,3,3,7,,2.4,2.3,
6/10/15,G,ATV,1,13,7,5,10,,3.7,3.8,
6/10/15,G,ATV,1,14,2,2,5,,1.4,1.5,
6/10/15,G,ATV,1,15,5,5,9,,2.8,2.7,
6/10/15,G,ATV,1,16,6,7,16,,3.3,3.5,
6/10/15,G,ATV,1,17,6,4,12,,2.5,2.5,
6/10/15,G,ATV,1,18,5,5,12,,3.2,3.3,
6/10/15,G,ATV,1,19,10,7,13,,4,4.1,
6/10/15,G,ATV,1,20,11,10,14,,5,5.5,
6/10/15,G,ATV,1,21,6,5,15,,3.2,3.4,
6/10/15,G,ATV,1,22,6,3,7,,2.1,2.2,
6/10/15,G,ATV,1,23,7,5,9,,2.9,3,
6/10/15,G,ATV,1,24,3,3,8,,2.9,2.7,
6/10/15,G,ATV,1,25,5,4,10,,2.6,3,
6/10/15,G,ATV,1,26,7,6,13,,3.6,3.3,
6/10/15,G,ATV,1,27,7,5,8,,3.3,3.4,
6/10/15,G,ATV,1,28,5,5,8,,2,2.2,
6/10/15,G,ATV,1,29,11,8,12,,5.4,5.9,
6/10/15,G,ATV,1,30,8,6,10,,3.3,3.4,
6/10/15,G,ATV,1,31,3,2,5,,1.2,1.2,
6/10/15,G,ATV,1,32,3,3,5,,1.6,1.8,
6/10/15,G,ATV,1,33,22,25,29,3,13.8,20,
6/10/15,G,ATV,1,34,38,21,42,3,24.5,23.5,
6/10/15,G,ATV,1,35,32,26,33,4,20.5,17.7,
6/10/15,transplant_site,ATP,1,1,6,4,6,,3,3.5,
6/10/15,transplant_site,ATP,1,2,4,8,8,,3.7,3.6,
6/10/15,transplant_site,ATP,1,3,6,2,5,,2.5,2.1,
6/10/15,transplant_site,ATP,1,4,6,5,8,,2.7,3.1,
6/10/15,transplant_site,ATP,1,5,6,5,7,,2.3,2.1,
