Transect,Quadrat,Rock
A.2,10W,3
A.2,10E,0
A.2,30W,1
A.2,30E,1
A.2,50W,70
A.2,50E,40
A.2,70W,0
A.2,70E,0
A.2,90W,0
A.2,90E,0
A.1,10W,0
A.1,30W,0
A.1,50W,0
A.1,70W,0
A.1,90W,0
A.1,10E,0
A.1,30E,0
A.1,50E,0
A.1,70E,0
A.1,90E,0
B.1,10W,0
B.1,30W,1
B.1,50W,0
B.1,70W,0
B.1,90W,0
C.1,10W,8
C.1,30W,10
C.1,50W,10
C.1,70W,2
C.1,90W,1
D.1,10W,0
D.1,30W,0
D.1,50W,3
D.1,70W,0
D.1,90W,0
E.1,10W,0
E.1,30W,8
E.1,50W,4
E.1,70W,7
E.1,90W,4
F.1,10W,4
F.1,30W,5
F.1,50W,3
F.1,70W,2
F.1,90W,2
B.1,0E,0
B.1,20E,0
B.1,40E,0
B.1,60E,0
B.1,80E,0
C.1,0E,70
C.1,20E,0
C.1,40E,3
C.1,60E,0
C.1,80E,10
D.1,0E,0
D.1,20E,0
D.1,40E,0
D.1,60E,1
D.1,80E,0
E.1,0E,12
E.1,20E,0
E.1,40E,10
E.1,60E,3
E.1,80E,5
F.1,0E,18
F.1,20E,1
F.1,40E,0
F.1,60E,7
F.1,80E,2
A.5,5W,0
A.5,15E,0
A.5,25W,0
A.5,35E,0
A.5,45W,0
A.5,55E,0
A.5,65W,0
A.5,75E,0
A.5,85W,0
A.5,95E,0
I.1,5W,3
I.1,15E,0
I.1,25W,0
I.1,35E,3
I.1,45W,1
I.1,55E,0
I.1,65W,2
I.1,75E,0
I.1,85W,0
I.1,95E,0
